
2022/12/26 (01:18:28) | ERROR: Stall in Runner thread, restarting!
2022/12/26 (01:18:37) | ERROR: Stall in Runner thread, restarting!
2022/12/26 (01:18:49) | ERROR: Stall in Runner thread, restarting!
2022/12/26 (22:43:48) | ERROR: Stall in Runner thread, restarting!
2022/12/26 (22:44:33) | ERROR: Stall in Runner thread, restarting!
2022/12/26 (23:28:14) | ERROR: Stall in Runner thread, restarting!
2022/12/26 (23:32:58) | ERROR: Stall in Runner thread, restarting!
2022/12/26 (23:36:00) | ERROR: Stall in Runner thread, restarting!
2022/12/27 (00:08:04) | ERROR: Stall in Runner thread, restarting!
2022/12/27 (00:40:19) | ERROR: Stall in Runner thread, restarting!
2022/12/27 (01:02:54) | ERROR: Stall in Runner thread, restarting!
2022/12/27 (01:13:43) | ERROR: Stall in Runner thread, restarting!
2022/12/27 (01:13:54) | ERROR: Stall in Runner thread, restarting!
2022/12/27 (01:14:06) | ERROR: Stall in Runner thread, restarting!
2022/12/27 (01:14:16) | ERROR: Stall in Runner thread, restarting!
2022/12/27 (01:14:24) | ERROR: Stall in Runner thread, restarting!
2022/12/27 (01:14:31) | ERROR: Stall in Runner thread, restarting!
2022/12/27 (01:14:38) | ERROR: Stall in Runner thread, restarting!
2022/12/27 (01:14:50) | ERROR: Stall in Runner thread, restarting!
2022/12/27 (01:15:27) | ERROR: Stall in Runner thread, restarting!

2023/01/19 (09:15:11) | ===> btop++ v.1.2.13
2023/01/19 (09:15:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/01/19 (15:24:26) | ERROR: Stall in Runner thread, restarting!
2023/01/20 (10:04:28) | ERROR: Stall in Runner thread, restarting!
2023/01/20 (10:04:34) | ERROR: Stall in Runner thread, restarting!

2023/01/20 (13:20:03) | ===> btop++ v.1.2.13
2023/01/20 (13:20:03) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/01/22 (18:26:38) | ERROR: failed getting network interfaces
2023/01/24 (10:22:57) | ERROR: Stall in Runner thread, restarting!
2023/01/24 (10:23:03) | ERROR: Stall in Runner thread, restarting!

2023/02/02 (10:07:25) | ===> btop++ v.1.2.13
2023/02/02 (10:07:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/02/03 (11:01:01) | ERROR: Stall in Runner thread, restarting!
2023/02/04 (03:46:10) | ERROR: failed getting network interfaces

2023/02/07 (11:35:09) | ===> btop++ v.1.2.13
2023/02/07 (11:35:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/07 (12:25:20) | ===> btop++ v.1.2.13
2023/02/07 (12:25:20) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/07 (12:26:03) | ===> btop++ v.1.2.13
